attendance,assignment,quiz,midsem,engagement,risk
78,50,97,49,75.0,0
91,57,66,40,71.33333333333333,0
68,83,88,20,79.66666666666667,0
54,83,77,51,71.33333333333333,1
82,94,55,27,77.0,0
47,50,51,88,49.333333333333336,1
60,42,83,49,61.666666666666664,1
78,86,90,27,84.66666666666667,0
97,78,61,38,78.66666666666667,0
58,83,67,78,69.33333333333333,1
62,39,93,74,64.66666666666667,1
50,82,49,49,60.333333333333336,1
50,73,40,98,54.333333333333336,1
63,76,79,55,72.66666666666667,0
92,82,32,74,68.66666666666667,1
75,75,20,63,56.666666666666664,1
79,42,84,46,68.33333333333333,1
63,66,52,96,60.333333333333336,0
42,53,57,97,50.666666666666664,1
61,31,44,73,45.333333333333336,1
92,43,45,67,60.0,1
41,39,96,49,58.666666666666664,1
63,64,78,58,68.33333333333333,0
83,54,52,32,63.0,0
69,32,60,35,53.666666666666664,1
77,46,49,63,57.333333333333336,1
41,41,76,90,52.666666666666664,1
99,83,68,46,83.33333333333333,0
60,53,67,64,60.0,0
72,58,91,54,73.66666666666667,0
51,72,68,98,63.666666666666664,1
97,54,66,47,72.33333333333333,0
61,89,75,26,75.0,0
83,94,84,81,87.0,0
64,57,31,70,50.666666666666664,1
88,45,88,65,73.66666666666667,1
66,76,25,39,55.666666666666664,1
98,87,84,57,89.66666666666667,0
81,56,44,80,60.333333333333336,0
67,82,20,51,56.333333333333336,1
99,71,51,45,73.66666666666667,0
55,88,22,77,55.0,1
54,76,68,58,66.0,1
86,63,38,39,62.333333333333336,1
90,66,79,69,78.33333333333333,0
83,35,48,98,55.333333333333336,1
94,36,69,71,66.33333333333333,1
91,54,21,41,55.333333333333336,1
96,62,92,72,83.33333333333333,0
42,84,75,85,67.0,1
76,87,36,62,66.33333333333333,1
90,36,79,42,68.33333333333333,1
46,86,55,96,62.333333333333336,1
60,41,80,83,60.333333333333336,1
48,45,36,28,43.0,1
78,72,68,26,72.66666666666667,0
57,36,95,60,62.666666666666664,1
43,80,79,73,67.33333333333333,1
64,61,39,84,54.666666666666664,1
99,37,69,21,68.33333333333333,1
53,74,22,23,49.666666666666664,1
89,88,62,97,79.66666666666667,0
97,33,76,51,68.66666666666667,1
48,96,69,21,71.0,1
65,58,87,83,70.0,0
92,58,69,33,73.0,0
41,57,56,39,51.333333333333336,1
59,73,65,68,65.66666666666667,1
67,33,61,27,53.666666666666664,1
86,38,34,82,52.666666666666664,1
99,34,52,65,61.666666666666664,1
46,85,99,40,76.66666666666667,1
83,79,30,51,64.0,1
47,44,39,27,43.333333333333336,1
86,61,43,35,63.333333333333336,0
74,57,83,59,71.33333333333333,0
53,51,99,46,67.66666666666667,1
56,46,84,37,62.0,1
75,88,92,54,85.0,0
89,86,95,71,90.0,0
79,55,36,34,56.666666666666664,1
43,54,80,82,59.0,1
41,39,34,72,38.0,1
45,74,70,85,63.0,1
93,40,46,50,59.666666666666664,1
81,82,93,80,85.33333333333333,0
43,97,80,83,73.33333333333333,1
93,57,77,53,75.66666666666667,0
68,94,50,74,70.66666666666667,0
57,78,31,78,55.333333333333336,1
65,76,65,22,68.66666666666667,0
83,81,50,36,71.33333333333333,0
73,83,51,97,69.0,0
49,89,51,97,63.0,1
75,86,72,65,77.66666666666667,0
53,76,80,57,69.66666666666667,1
70,60,65,54,65.0,0
87,75,93,20,85.0,0
54,55,99,48,69.33333333333333,1
47,34,26,23,35.666666666666664,1
53,81,23,80,52.333333333333336,1
62,83,71,36,72.0,0
99,62,50,47,70.33333333333333,0
96,79,94,69,89.66666666666667,0
79,67,55,27,67.0,0
60,56,73,53,63.0,0
55,44,73,78,57.333333333333336,1
84,90,36,37,70.0,1
57,50,94,78,67.0,1
86,75,49,46,70.0,0
92,98,41,35,77.0,0
63,35,62,29,53.333333333333336,1
65,67,46,95,59.333333333333336,0
64,91,56,41,70.33333333333333,0
99,91,65,35,85.0,0
99,75,54,31,76.0,0
99,42,23,94,54.666666666666664,1
84,32,99,70,71.66666666666667,1
80,35,99,20,71.33333333333333,1
68,37,45,46,50.0,1
54,73,38,86,55.0,1
84,62,64,31,70.0,0
40,79,45,49,54.666666666666664,1
64,40,41,28,48.333333333333336,1
46,57,77,72,60.0,1
48,99,82,80,76.33333333333333,1
63,70,47,73,60.0,0
40,45,84,56,56.333333333333336,1
83,97,63,84,81.0,0
47,77,62,61,62.0,1
63,85,56,68,68.0,0
50,93,85,23,76.0,1
90,88,36,83,71.33333333333333,1
56,91,59,98,68.66666666666667,1
47,40,57,70,48.0,1
74,47,80,91,67.0,1
74,48,28,79,50.0,1
72,84,96,98,84.0,0
98,55,94,50,82.33333333333333,0
44,35,80,91,53.0,1
81,33,99,77,71.0,1
78,58,35,23,57.0,1
97,88,21,41,68.66666666666667,1
80,46,91,22,72.33333333333333,1
67,72,62,98,67.0,0
46,95,61,66,67.33333333333333,1
48,63,96,57,69.0,1
47,37,76,52,53.333333333333336,1
51,42,86,97,59.666666666666664,1
73,37,49,67,53.0,1
72,94,32,84,66.0,1
87,72,38,45,65.66666666666667,1
94,68,26,27,62.666666666666664,1
62,88,28,69,59.333333333333336,1
63,73,73,99,69.66666666666667,0
76,38,80,57,64.66666666666667,1
74,66,21,29,53.666666666666664,1
83,65,69,61,72.33333333333333,0
79,57,94,56,76.66666666666667,0
61,71,50,45,60.666666666666664,0
66,72,52,31,63.333333333333336,0
74,71,97,68,80.66666666666667,0
40,95,99,33,78.0,1
74,84,30,65,62.666666666666664,1
76,77,52,54,68.33333333333333,0
86,51,26,48,54.333333333333336,1
53,56,50,31,53.0,1
42,96,67,63,68.33333333333333,1
40,42,66,85,49.333333333333336,1
44,74,97,21,71.66666666666667,1
65,39,72,78,58.666666666666664,1
94,38,99,36,77.0,1
53,83,38,29,58.0,1
78,56,25,37,53.0,1
66,63,68,41,65.66666666666667,0
48,30,92,77,56.666666666666664,1
54,61,69,72,61.333333333333336,1
54,96,31,20,60.333333333333336,1
65,49,42,80,52.0,1
81,64,73,50,72.66666666666667,0
99,46,88,50,77.66666666666667,1
52,47,78,85,59.0,1
90,74,55,38,73.0,0
71,82,22,72,58.333333333333336,1
78,97,77,95,84.0,0
88,94,74,93,85.33333333333333,0
91,30,76,41,65.66666666666667,1
71,87,36,42,64.66666666666667,1
43,55,58,34,52.0,1
69,49,87,45,68.33333333333333,1
76,39,74,22,63.0,1
62,88,64,39,71.33333333333333,0
78,70,95,59,81.0,0
84,34,20,58,46.0,1
54,94,40,91,62.666666666666664,1
82,46,40,37,56.0,1
68,51,71,60,63.333333333333336,0
75,70,62,89,69.0,0
52,97,71,46,73.33333333333333,1
71,98,86,34,85.0,0
46,40,63,56,49.666666666666664,1
98,85,51,77,78.0,0
90,80,29,24,66.33333333333333,1
61,50,83,92,64.66666666666667,0
67,55,98,26,73.33333333333333,0
41,48,88,60,59.0,1
81,89,87,29,85.66666666666667,0
84,76,47,81,69.0,0
96,55,72,45,74.33333333333333,0
92,69,70,87,77.0,0
45,34,72,43,50.333333333333336,1
67,50,23,97,46.666666666666664,1
67,33,98,60,66.0,1
83,52,36,84,57.0,1
83,44,86,36,71.0,1
59,37,93,43,63.0,1
69,70,66,46,68.33333333333333,0
50,48,75,26,57.666666666666664,1
97,75,42,92,71.33333333333333,0
94,57,37,31,62.666666666666664,1
67,97,20,22,61.333333333333336,1
64,44,54,98,54.0,1
78,66,83,29,75.66666666666667,0
72,30,77,52,59.666666666666664,1
40,96,78,65,71.33333333333333,1
96,53,20,78,56.333333333333336,1
66,56,22,71,48.0,1
96,69,86,25,83.66666666666667,0
91,92,56,21,79.66666666666667,0
52,90,48,48,63.333333333333336,1
80,65,52,59,65.66666666666667,0
42,53,80,80,58.333333333333336,1
78,53,23,87,51.333333333333336,1
45,33,33,87,37.0,1
47,96,52,48,65.0,1
66,63,41,81,56.666666666666664,0
48,86,67,79,67.0,1
76,78,22,60,58.666666666666664,1
72,82,42,84,65.33333333333333,0
90,52,87,83,76.33333333333333,0
81,98,40,98,73.0,0
83,82,62,82,75.66666666666667,0
63,91,45,67,66.33333333333333,0
54,70,60,39,61.333333333333336,1
98,86,57,56,80.33333333333333,0
93,89,30,83,70.66666666666667,1
71,83,48,24,67.33333333333333,0
71,99,79,53,83.0,0
63,86,86,58,78.33333333333333,0
80,39,84,86,67.66666666666667,1
91,69,80,81,80.0,0
88,36,38,43,54.0,1
88,67,65,22,73.33333333333333,0
97,90,68,90,85.0,0
91,32,41,86,54.666666666666664,1
51,80,97,98,76.0,1
78,76,76,69,76.66666666666667,0
41,97,33,48,57.0,1
42,67,63,93,57.333333333333336,1
88,65,35,51,62.666666666666664,1
76,70,96,58,80.66666666666667,0
88,98,31,28,72.33333333333333,1
95,42,74,33,70.33333333333333,1
56,87,70,87,71.0,1
98,79,58,83,78.33333333333333,0
88,59,52,39,66.33333333333333,0
41,91,52,47,61.333333333333336,1
41,54,48,33,47.666666666666664,1
67,56,88,63,70.33333333333333,0
93,80,89,96,87.33333333333333,0
62,86,50,58,66.0,0
76,76,99,47,83.66666666666667,0
71,68,50,83,63.0,0
72,45,65,51,60.666666666666664,1
40,51,96,28,62.333333333333336,1
58,83,71,47,70.66666666666667,1
41,50,29,36,40.0,1
92,45,93,96,76.66666666666667,1
83,88,60,74,77.0,0
65,60,96,29,73.66666666666667,0
71,71,22,99,54.666666666666664,1
45,61,78,25,61.333333333333336,1
71,88,71,67,76.66666666666667,0
94,63,53,94,70.0,0
43,38,68,86,49.666666666666664,1
94,40,47,60,60.333333333333336,1
50,39,32,98,40.333333333333336,1
95,46,88,79,76.33333333333333,1
98,97,86,96,93.66666666666667,0
56,77,80,61,71.0,1
77,81,79,90,79.0,0
63,54,90,47,69.0,0
44,50,43,32,45.666666666666664,1
91,94,82,34,89.0,0
73,92,80,55,81.66666666666667,0
45,80,42,34,55.666666666666664,1
61,65,49,94,58.333333333333336,0
50,95,79,75,74.66666666666667,1
87,44,37,23,56.0,1
55,68,75,71,66.0,1
72,99,72,29,81.0,0
48,30,26,64,34.666666666666664,1
99,52,88,48,79.66666666666667,0
98,68,91,72,85.66666666666667,0
45,86,98,48,76.33333333333333,1
55,63,71,42,63.0,1
68,70,23,76,53.666666666666664,1
42,42,53,69,45.666666666666664,1
59,99,88,40,82.0,1
99,35,52,62,62.0,1
98,81,88,29,89.0,0
75,32,57,95,54.666666666666664,1
